4_1.pngis:t@2+-2*t+2,+-t@3+2*t@2+-2*t]
5_1.pngis:t@4+-t@3+t@2+-t+1,t@4+-t@3+t@2+-t+1]
5_2.pngis:2*t@2+-3*t+2,+-2*t@3+3*t@2+-2*t]
6_1.pngis:3*t@2+-4*t+2,+-3*t@3+4*t@2+-2*t]
6_2.pngis:t@4+-2*t@3+3*t@2+-3*t+2,t@5+-2*t@4+3*t@3+-3*t@2+2*t]
6_3.pngis:t@4+-2*t@3+4*t@2+-4*t+2,t@5+-2*t@4+4*t@3+-4*t@2+2*t]
7_1.pngis:t@6+-t@5+t@4+-t@3+t@2+-t+1,+-t@6+t@5+-t@4+t@3+-t@2+t+-1]
7_2.pngis:3*t@2+-5*t+3,+-3*t@4+5*t@3+-3*t@2]
7_3.pngis:2*t@4+-3*t@3+3*t@2+-3*t+2,2*t@5+-3*t@4+3*t@3+-3*t@2+2*t]
7_4.pngis:4*t@2+-7*t+4,4*t@4+-7*t@3+4*t@2]
7_5.pngis:2*t@4+-4*t@3+5*t@2+-4*t+2,+-2*t@5+4*t@4+-5*t@3+4*t@2+-2*t]
7_6.pngis:3*t@4+-6*t@3+6*t@2+-3*t+1,+-3*t@4+6*t@3+-6*t@2+3*t+-1]
7_7.pngis:4*t@4+-7*t@3+6*t@2+-3*t+1,4*t@4+-7*t@3+6*t@2+-3*t+1]
8_1.pngis:4*t@2+-6*t+3,4*t@4+-6*t@3+3*t@2]
8_2.pngis:t@6+-2*t@5+3*t@4+-3*t@3+3*t@2+-3*t+2,+-t@7+2*t@6+-3*t@5+3*t@4+-3*t@3+3*t@2+-2*t]
8_5.pngis:t@6+-2*t@5+3*t@4+-4*t@3+5*t@2+-4*t+2,t@7+-2*t@6+3*t@5+-4*t@4+5*t@3+-4*t@2+2*t]
8_6.pngis:2*t@4+-5*t@3+7*t@2+-6*t+3,+-2*t@6+5*t@5+-7*t@4+6*t@3+-3*t@2]
8_7.pngis:t@6+-2*t@5+4*t@4+-5*t@3+5*t@2+-4*t+2,+-t@7+2*t@6+-4*t@5+5*t@4+-5*t@3+4*t@2+-2*t]
8_8.pngis:2*t@4+-5*t@3+8*t@2+-7*t+3,2*t@6+-5*t@5+8*t@4+-7*t@3+3*t@2]
8_11.pngis:4*t@4+-8*t@3+8*t@2+-5*t+2,+-4*t@5+8*t@4+-8*t@3+5*t@2+-2*t]
8_13.pngis:2*t@4+-5*t@3+9*t@2+-9*t+4,2*t@6+-5*t@5+9*t@4+-9*t@3+4*t@2]
8_14.pngis:2*t@4+-6*t@3+10*t@2+-9*t+4,+-2*t@6+6*t@5+-10*t@4+9*t@3+-4*t@2]
8_15.pngis:3*t@4+-8*t@3+11*t@2+-8*t+3,+-3*t@6+8*t@5+-11*t@4+8*t@3+-3*t@2]
